label,filename
Glass,Glass37Window.wav
Paper,Paper25ToiletRoll.wav
Plastic,Plastic32RollAntiPerspirant.wav
Glass,Glass13.wav
Plastic,Plastic39ShowerGel.wav
Plastic,Plastic25BagOfBottlesOfWater.wav
Glass,Glass26.wav
Glass,Glass2.wav
Plastic,Plastic15BleachBottle.wav
Glass,Glass12.wav
Plastic,Plastic41ShowerGel.wav
Paper,Paper6BundleServiettes.wav
Paper,Paper18BookPages.wav
Paper,Paper21ShoeBox.wav
Paper,Paper11PieceOfPaper.wav
Paper,Paper1ClothesWrapper.wav
Glass,Glass10.wav
Paper,Paper15ParcelWrapper.wav
Paper,Paper20ShoeBox.wav
Paper,Paper36IkeaBox.wav
Paper,Paper13PileOfPaper.wav
Plastic,Plastic10FabricSoftener.wav
Glass,Glass25.wav
Plastic,Plastic40CashewNutsBag.wav
Paper,Paper35ShoeBox.wav
Plastic,Plastic8.wav
Plastic,Plastic5.wav
Plastic,Plastic36ShampooBottle.wav
Glass,Glass33.wav
Glass,Glass22.wav
Paper,Paper37WrappingPaper.wav
Glass,Glass32.wav
Paper,Paper30ShoeBox.wav
Paper,Paper16PrinterPaperStack.wav
Plastic,Plastic28WashingUpLiquid.wav
Plastic,Plastic26WaterBottle.wav
Paper,Paper7PopcornBox.wav
Plastic,Plastic14BinBag.wav
Plastic,Plastic36Shampoo.wav
Plastic,Plastic36Conditioner.wav
Glass,Glass27.wav
Glass,Glass9.wav
Paper,Paper9PainkillerInfoPaper.wav
Plastic,Plastic7BagofCarrots.wav
Plastic,Plastic4.wav
Plastic,Plastic13PlasticBox.wav
Plastic,Plastic18DisposableGloves.wav
Glass,Glass1.wav
Glass,Glass16InsidePhotoframe.wav
Paper,Paper22ShoeBox.wav
Plastic,Plastic23ToiletPaperBag.wav
Glass,Glass24.wav
Plastic,Plastic24ToiletPaperBag.wav
Glass,Glass3.wav
Paper,Paper29CoffeeBox.wav
Paper,Paper10Serviette.wav
Paper,Paper4PaperBundle.wav
Plastic,Plastic2.wav
Glass,Glass11.wav
Glass,Glass18.wav
Glass,Glass34.wav
Plastic,Plastic12DetergentBottle.wav
Plastic,Plastic20PlasticBucket.wav
Glass,Glass30.wav
Paper,Paper39LampShade.wav
Glass,Glass7.wav
Plastic,Plastic27WashingUpLiquid.wav
Glass,Glass15.wav
Paper,Paper19PieceOfPaper.wav
Glass,Glass23.wav
Paper,Paper8PainkillerBox.wav
Glass,Glass14.wav
Paper,Paper32CarboardBox.wav
Plastic,Plastic38PlasticBag.wav
Glass,Glass29.wav
Glass,Glass35.wav
Plastic,Plastic9BagofLettuce.wav
Plastic,Plastic11Detergent.wav
Paper,Paper14ParcelWrapper.wav
Plastic,Plastic35SoapDispenser.wav
Paper,Paper3WrappingPaper.wav
Plastic,Plastic34PlasticLampShade.wav
Paper,Paper12VotingBallotPaper.wav
Plastic,Plastic33PlasticBottle.wav
Plastic,Plastic31PlasticBottlePerfume.wav
Plastic,Plastic22SunCreamBottle.wav
Glass,Glass17.wav
Plastic,Plastic19RollOfBinBags.wav
Paper,Paper23ToiletPaper.wav
Glass,Glass20.wav
Plastic,Plastic3.wav
Plastic,Plastic6BagofTomatoes.wav
Paper,Paper2CardboardBox.wav
Plastic,Plastic30HandCreamBottle.wav
Plastic,Plastic17BinBag.wav
Plastic,Plastic38ShowerGel.wav
Paper,Paper24KitchenTowel.wav
Plastic,Plastic40ShowerGel.wav
Glass,Glass4.wav
Plastic,Plastic16SprayCleaner.wav
Paper,Paper27DetergentCardboardBox.wav
Glass,Glass19.wav
Paper,Paper26KitchenTowelRoll.wav
Glass,Glass21.wav
Plastic,Plastic21CleaningSpray.wav
Glass,Glass8.wav
Plastic,Plastic9CheeseWrapper.wav
Plastic,Plastic1.wav
Glass,Glass31.wav
Paper,Paper17Receipt.wav
Glass,Glass28.wav
Glass,Glass5.wav
Paper,Paper33ShoeboxLid.wav
Paper,Paper28CoffeeBoxFlap.wav
Glass,Glass36HallWayBannister.wav
Glass,Glass6.wav
Paper,Paper31ToiletRoll.wav
Plastic,Plastic29PlantFeedBottle.wav
